FACTION,COMMANDER,ASSAULT OBJECTIVE,DEFENSE OBJECTIVE,NAVIGATION OBJECTIVE,FLAGSHIP,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #2,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #3,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #4,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #5,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #6,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #7,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #8,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #9,UPGRADE,UPGRADE,SHIP TOTAL,SQUADRON #1,SQUADRON #2,SQUADRON #3,SQUADRON #4,SQUADRON #5,SQUADRON #6,SQUADRON #7,SQUADRON #8,SQUADRON #9,SQUADRON #10,SQUADRON #11,SQUADRON #12,SQUADRON #13,SQUADRON #14,SQUADRON #15,SQUADRON #16,SQUADRON #17,SQUADRON #18,SQUADRON TOTAL,LIST TOTAL,
Empire,Admiral Ozzel,Advanced Gunnery,Hyperspace Assault,Infested Fields,ISD 2,Captain Needa,Flight Controllers,"Reserve
Hangar Deck","Electronic 
Countermeasures",Point Defense Ion Cannons,"Quad Battery 
Turrets",,,,,,Gladiator 1,Demolisher,Admiral Montferrat,Ordnance Experts,External Racks,,,,,,"Gozanti
Cruisers","Reserve
Hangar Deck",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278,"Lambda-class Shuttle 
(Colonel Jendon)","TIE Defender 
(Darth Vader)","TIE Defender 
(Maarek Stele)","TIE Interceptor 
(Saber Squadron)",TIE Interceptor,TIE Interceptor,Firespray-31,,,,,,,,,,,,121,399,
Rebel,Krysta Agate,Advanced Gunnery,Fire Lanes,Sensor Net,Starhawk 1,Amity,Raymus Antilles,Walex Blissex,"Caitken and 
Shollan",Point Defense Ion Cannons,"Quad Battery 
Turrets",,,,,,CR90-A,Ahsoka Tano (reb),"Dual Turbolaser 
Turrets",,,,,,,,"GR-75 Medium
Transports",Adar Tallon,Boosted Comms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,"Millennium Falcon 
(Lando Calrissian)",A-wing (Shara Bey),"E-wing (Corran 
Horn)",YT-2400,VCX-100 Freighter,VCX-100 Freighter,,,,,,,,,,,,,109,391,
Republic,Bail Organa,Surprise Attack,Rift Ambush,Infested Fields,Venator 2,Tranquility,Skilled First Officer,Flight Controllers,Flag Bridge,Thermal Shields,External Racks,"Linked Turbolaser
Towers",Mercy Mission,,,,"Consular Armed
Cruiser",Radiant VII,Clone Navigation Officer,"Bomber Command 
Center",,,,,,,"Consular Armed
Cruiser",Swift Return,Hondo Ohnaka,Projection Experts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,"Delta-7
(Anakin Skywalker)","V-19
(Axe)","Delta-7
(Kit Fisto)","V-19
(Kickback)",BTL-B Y-Wing,BTL-B Y-Wing,BTL-B Y-Wing,BTL-B Y-Wing,BTL-B Y-Wing,,,,,,,,,,131,392,
Empire,General Romodi,Advanced Gunnery,Asteroid Tactics,Infested Fields,ISD 2,Relentless,Reeva Demesne,Flight Controllers,"Expanded 
Hangar Bay","Electronic 
Countermeasures",Leading Shots,,,,,,"Arquitens
Light Cruiser",Centicore,Captain Needa,"Turbolaser Reroute 
Circuits",,,,,,,"Gozanti
Cruisers",Hondo Ohnaka,Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,"Lambda-class Shuttle 
(Colonel Jendon)","TIE Defender 
(Darth Vader)","TIE Defender 
(Maarek Stele)","TIE Bomber 
(Captain Jonus)","TIE Interceptor 
(Saber Squadron)",TIE Defender,TIE Defender,,,,,,,,,,,,129,398,
Empire,Admiral Sloane,Most Wanted,Fire Lanes,Hyperspace Migration,Raider 1,Corvus,,,,,,,,,,,"Quasar
Fire 1",Boosted Comms,,,,,,,,,Gladiator 1,Ordnance Experts,Rapid Reload,,,,,,Gladiator 1,Ordnance Experts,Rapid Reload,,,,,"Gozanti
Cruisers",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,"Lambda-class Shuttle 
(Colonel Jendon)","TIE Defender 
(Maarek Stele)","TIE Fighter 
(Mauler Mithel)","TIE Fighter 
(Valen Rudor)",TIE Defender,TIE Defender,"Lambda-class 
Shuttle",,,,,,,,,,,,119,400,
Rebel,Leia Organa,,Planetary Ion Cannon,,CR90-B,Major Derlin,Liberator,"All Fighters, 
Follow Me!",,,,,,,,,"Assault Frigate
Mk2B",Gallant Haven,Toryn Farr,Flight Controllers,"Electronic 
Countermeasures",,,,,,"Nebulon-B
Escort",Vanguard,Hondo Ohnaka,"Auxiliary 
Shield Teams","Caitken and 
Shollan",Heavy Fire Zone,,,"GR-75 Medium
Transports",Wedge Antilles (Officer),"Bomber Command 
Center",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,"E-wing (Corran 
Horn)","B-wing (Keyan 
Farlander)",B-wing (Ten Numb),E-wing,E-wing,B-wing,B-wing,,,,,,,,,,,,115,400,
Rebel,Commander Sato,,,,"MC30c
Scout",Foresight,Expert Shield Tech,"Caitken and 
Shollan","Assault Proton 
Torpedoes","Enhanced 
Armament",,,,,,,Providence (Reb),Raymus Antilles,Toryn Farr,Ordnance Experts,Veteran Gunners,"Auxiliary 
Shield Teams",Engine Techs,,,,"GR-75 Medium
Transports",Bright Hope,Ahsoka Tano (reb),Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,A-wing (Shara Bey),"Sato's Hammer
(Mart Mattin)","Shadow Caster 
(Ketsu Onyo)","Ghost (Hera 
Syndulla)","X-wing (Rogue 
Squadron)","Y-wing (Gold 
Squadron)",,,,,,,,,,,,,115,399,
Separatist,General Grievous,,,,"Providence-class 
Carrier",Invincible,Rune Haako,Thermal Shields,"Early Warning
System","Expanded 
Hangar Bay",External Racks,Point Defense Ion Cannons,H9 Turbolasers,"Intensify
Firepower",,,"Hardcell-class
Transport",Hondo Ohnaka,San Hill,Projection Experts,"Bomber Command 
Center",,,,,,Gozanti (CIS),TI-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,"Modified Firespray-31
(Jango Fett)","Droid Tri-Fighter
(DIS-T81)",Vulture Fighter,Vulture Fighter,Vulture Fighter,Vulture Fighter,Vulture Fighter,Hyena Bomber,Hyena Bomber,Hyena Bomber,Hyena Bomber,,,,,,,,123,389,
Rebel,Krysta Agate,Most Wanted,Asteroid Tactics,Solar Corona,Starhawk 1,Amity,Raymus Antilles,Support Officer,Sensor Team,"Hardened 
Bulkheads",Point Defense Ion Cannons,XI7 Turbolasers,,,,,"Pelta
Assault",Ahsoka Tano (reb),Projection Experts,Flechette Torpedoes,"Intensify
Firepower",,,,,,"GR-75 Medium
Transports",Bright Hope,Toryn Farr,Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304,"Millennium Falcon 
(Lando Calrissian)","A-wing (Tycho 
Celchu)","X-wing (Hera 
Syndula)","Moldy Crow 
(Jan Ors)",YT-1300,,,,,,,,,,,,,,95,399,
Empire,Admiral Motti,Advanced Gunnery,Contested Outpost,Doomed Station,ISD 2,Relentless,Director Krennic,"Darth Vader 
(Boarding)","Early Warning
System",Point Defense Ion Cannons,Spinal Armament,,,,,,Victory 2,Harrow,Commander Beck,Gunnery Team,Engine Techs,Disposable Capacitors,"Heavy Ion
Emplacements","Quad Battery 
Turrets",,,Raider 2,Corvus,Governor Pryce,Disposable Capacitors,"Heavy Ion
Emplacements",,,,"Gozanti
Cruisers",Hondo Ohnaka,Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393,,,,,,,,,,,,,,,,,,,0,393,
Rebel,Admiral Ackbar,Advanced Gunnery,Fleet in Being,Solar Corona,"MC80 Command
Cruiser",Home One,Ahsoka Tano (reb),Engine Techs,"Electronic 
Countermeasures",Leading Shots,XI7 Turbolasers,,,,,,"MC80 Command
Cruiser",Defiance,Raymus Antilles,Engine Techs,"Rapid Launch 
Bays","Electronic 
Countermeasures",Leading Shots,XI7 Turbolasers,,,"GR-75 Medium
Transports",Comms Net,,,,,,,"GR-75 Medium
Transports",Parts Resupply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,YT-1300,YT-1300,YT-1300,,,,,,,,,,,,,,,,39,399,
Empire,Admiral Motti,Rift Assault,"Abandoned Mining
Facility",Volatile Deposits,"Interdictor
Suppression",Captain Needa,"G7-X Grav Well 
Projector",Grav Shift Reroute,,,,,,,,,Victory 2,Corrupter,Expert Shield Tech,Disposable Capacitors,"Dual Turbolaser 
Turrets",,,,,,Victory 2,Expert Shield Tech,Gunnery Team,Disposable Capacitors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,"TIE Defender 
(Darth Vader)","TIE Interceptor 
(Soontir Fel)","JumpMaster 5000
(Tel Trevura)","TIE Bomber 
(Gamma Squadron)",TIE Bomber,TIE Bomber,,,,,,,,,,,,,88,398,
Empire,Grand Admiral Thrawn,Advanced Gunnery,"Abandoned Mining
Facility",Volatile Deposits,ISD 2,Relentless,Expert Shield Tech,Veteran Gunners,"Electronic 
Countermeasures","Heavy Ion
Emplacements",,,,,,,Gladiator 2,Demolisher,Minister Tua,Ruthless Strategists,"Fighter Coordination 
Team","Electronic 
Countermeasures",,,,,"Gozanti
Cruisers",Comms Net,,,,,,,"Gozanti
Cruisers",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319,"Slave I 
(Hondo Ohnaka)","TIE Fighter 
(Mauler Mithel)","TIE Bomber 
(Gamma Squadron)",TIE Advanced,TIE Fighter,TIE Bomber,,,,,,,,,,,,,78,397,
Separatist,Mar Tuuk,Most Wanted,Fire Lanes,Volatile Deposits,"Providence-class 
Carrier",Invincible,Thermal Shields,"Early Warning
System",Flak Guns,Point Defense Ion Cannons,DBY-827 Heavy Turbolasers,,,,,,"Recusant-class 
Light Destroyer",Patriot Fist,Ordnance Experts,"Assault Concussion 
Missiles",Swivel-Mount Batteries,,,,,,"Recusant-class 
Light Destroyer",Tikkes,Gunnery Team,"Assault Concussion 
Missiles",Swivel-Mount Batteries,,,,Gozanti (CIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,,,,,,,,,,,,,,,,,,,0,398,
Rebel,Krysta Agate,Most Wanted,Contested Outpost,Superior Positions,Providence (Reb),Ezra Bridger,Walex Blissex,Boarding Troopers,Ordnance Experts,Engine Techs,"Auxiliary 
Shield Teams",,,,,,CR90-A,Ahsoka Tano (reb),"Turbolaser Reroute 
Circuits",,,,,,,,CR90-A,"Turbolaser Reroute 
Circuits",,,,,,,"GR-75 Medium
Transports",Toryn Farr,Parts Resupply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278,"Millennium Falcon 
(Lando Calrissian)",A-wing (Shara Bey),"A-wing (Tycho 
Celchu)","Shadow Caster 
(Ketsu Onyo)","X-wing (Rogue 
Squadron)","Lancer-class 
Pursuit Craft","Lancer-class 
Pursuit Craft",,,,,,,,,,,,121,399,
Empire,Darth Vader,Most Wanted,Fire Lanes,Superior Positions,ISD Cymoon,Avenger,"Emperor Palpatine
(Officer)",Gunnery Team,Spinal Armament,XI7 Turbolasers,"Intensify
Firepower",,,,,,"Arquitens
Light Cruiser","Enhanced 
Armament",,,,,,,,,"Arquitens
Light Cruiser","Enhanced 
Armament",,,,,,,"Gozanti
Cruisers","Reserve
Hangar Deck",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,"TIE Fighter 
(Howlrunner)","TIE Fighter 
(Mauler Mithel)","TIE Fighter 
(Valen Rudor)",TIE Interceptor,TIE Fighter,,,,,,,,,,,,,,63,398,
Separatist,Mar Tuuk,,,,"Providence-class 
Dreadnought",Invincible,Rune Haako,Boarding Troopers,Thermal Shields,External Racks,Point Defense Ion Cannons,"Linked Turbolaser
Towers",XI7 Turbolasers,,,,"Munificent-class
Star Frigate",Tikkes,Projection Experts,Thermal Shields,Point Defense Ion Cannons,"Linked Turbolaser
Towers",,,,,"Munificent-class
Star Frigate",Projection Experts,Thermal Shields,Point Defense Ion Cannons,"Linked Turbolaser
Towers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,Vulture Fighter,Vulture Fighter,Vulture Fighter,Vulture Fighter,,,,,,,,,,,,,,,32,393,
Rebel,Krysta Agate,Advanced Gunnery,Hyperspace Assault,Volatile Deposits,"MC75 Ordnance
Cruiser",Profundity,Skilled First Officer,"Caitken and 
Shollan","Reinforced 
Blast Doors",External Racks,"Expanded 
Launchers",,,,,,"MC30c
Torpedo",Ordnance Experts,External Racks,H9 Turbolasers,,,,,,,"Hammerhead
Torpedo",Garel's Honor,Ezra Bridger,Shriv Suurgav,External Racks,,,,"GR-75 Medium
Transports",Hondo Ohnaka,,,,,,"GR-75 Medium
Transports",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,"Millennium Falcon 
(Lando Calrissian)",A-wing (Shara Bey),"A-wing (Tycho 
Celchu)","Shadow Caster 
(Ketsu Onyo)",,,,,,,,,,,,,,,79,400,
Rebel,General Madine,Ion Storm,Capture the VIP,Volatile Deposits,CR90-A,Tantive IV,"Turbolaser Reroute 
Circuits",,,,,,,,,,"MC30c
Torpedo",Foresight,Lando Calrissian,Ordnance Experts,External Racks,H9 Turbolasers,,,,,"MC30c
Torpedo",Admonition,Expert Shield Tech,Ordnance Experts,External Racks,H9 Turbolasers,,,CR90-B,Ezra Bridger,Engine Techs,SW-7 Ion Batteries,,,,"GR-75 Medium
Transports",Slicer Tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,"A-wing (Tycho 
Celchu)",A-wing,A-wing,A-wing,,,,,,,,,,,,,,,49,400,
Separatist,Admiral Trench,Most Wanted,Planetary Ion Cannon,Volatile Deposits,"Providence-class 
Carrier",Tikkes,Thermal Shields,"Reserve
Hangar Deck",Point Defense Ion Cannons,"Intensify
Firepower",,,,,,,"Recusant-class 
Light Destroyer",Patriot Fist,Shu Mai,Ordnance Experts,"Reserve
Hangar Deck","Assault Proton 
Torpedoes",Swivel-Mount Batteries,,,,"Hardcell-class
Transport",Beast of Burden,Rune Haako,TI-99,Projection Experts,Parts Resupply,,,Gozanti (CIS),Hondo Ohnaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,Vulture Fighter,Vulture Fighter,Vulture Fighter,Vulture Fighter,,,,,,,,,,,,,,,32,400,
Republic,Luminara Unduli,,Contested Outpost,,Pelta Transport,Skilled First Officer,Projection Experts,Parts Resupply,,,,,,,,,Venator 2,Tranquility,Veteran Captain,Veteran Gunners,Thermal Shields,SPHA-T,XI7 Turbolasers,,,,Acclamator 2,Veteran Captain,Thermal Shields,"Linked Turbolaser
Towers",,,,,Pelta Transport,Skilled First Officer,Projection Experts,Munitions Resupply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,"Delta-7
(Anakin Skywalker)","Delta-7
(Ahsoka Tano)",,,,,,,,,,,,,,,,,47,399,
Rebel,Admiral Raddus,Most Wanted,Capture the VIP,Infested Fields,CR90-A,Jaina's Light,Lando Calrissian,Engine Techs,"Electronic 
Countermeasures","Turbolaser Reroute 
Circuits",,,,,,,"MC75 Armored
Cruiser",Intel Officer,Shriv Suurgav,"Electronic 
Countermeasures","Expanded 
Launchers",Leading Shots,XI7 Turbolasers,,,,"GR-75 Medium
Transports",Bright Hope,Hondo Ohnaka,Boosted Comms,,,,,"GR-75 Medium
Transports",Quantum Storm,Ahsoka Tano (reb),Boosted Comms,Parts Resupply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,A-wing (Shara Bey),"A-wing (Tycho 
Celchu)","Outrider (Dash 
Rendar)","Shadow Caster 
(Ketsu Onyo)",A-wing,A-wing,,,,,,,,,,,,,101,392,
Separatist,TF-1726,Surprise Attack,Fleet in Being,Solar Corona,"Recusant-class 
Light Destroyer",Nova Defiant,Shu Mai,Gunnery Team,B2 Rocket Troopers,External Racks,XI7 Turbolasers,,,,,,"Munificent-class
Comms Frigate",Rune Haako,"Auxiliary 
Shield Teams",B2 Rocket Troopers,"Dual Turbolaser 
Turrets",,,,,,"Hardcell-class
Battle Refit",B2 Rocket Troopers,,,,,,,Gozanti (CIS),,,,,,,Gozanti (CIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,"Belbullab-22
(Wat Tambor)","Modified Firespray-31
(Jango Fett)",Vulture Fighter,Vulture Fighter,,,,,,,,,,,,,,,56,392,
Empire,Admiral Motti,Most Wanted,Planetary Ion Cannon,Infested Fields,"Interdictor
Suppression",Interdictor,Captain Brunson,Projection Experts,Disposable Capacitors,"Heavy Ion
Emplacements",Targetting Scrambler,Grav Shift Reroute,,,,,Onager Testbed,Governor Pryce,Ordnance Experts,Veteran Gunners,Engine Techs,"Orbital Bombardment
Particle Cannons",,,,,"Gozanti
Cruisers",Hondo Ohnaka,Parts Resupply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323,"TIE Defender 
(Darth Vader)","TIE Defender 
(Maarek Stele)","TIE Advanced 
(Zertik Strom)","TIE Bomber 
(Captain Jonus)",,,,,,,,,,,,,,,77,400,
Empire,Grand Moff Tarkin,Advanced Gunnery,Planetary Ion Cannon,Infested Fields,ISD 2,Expert Shield Tech,Veteran Gunners,"Electronic 
Countermeasures",SW-7 Ion Batteries,XI7 Turbolasers,,,,,,,Gladiator 2,Demolisher,Agent Kallus,Flight Controllers,External Racks,,,,,,"Gozanti
Assault",Commander Gherant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289,"TIE Defender 
(Darth Vader)","Slave I 
(Hondo Ohnaka)","TIE Fighter 
(Mauler Mithel)","JumpMaster 5000
(Tel Trevura)","TIE Fighter 
(Black Squadron)",TIE Advanced,,,,,,,,,,,,,102,391,
Empire,Admiral Screed,Advanced Gunnery,Hyperspace Assault,Volatile Deposits,ISD Kuat,Governor Pryce,Fire Control Team,"Early Warning
System","Heavy Ion
Emplacements","Assault Concussion 
Missiles",,,,,,,Gladiator 1,Demolisher,Ordnance Experts,Engine Techs,"Assault Proton 
Torpedoes",,,,,,Raider 2,Disposable Capacitors,"Heavy Ion
Emplacements",,,,,,Raider 2,Disposable Capacitors,"Heavy Ion
Emplacements",,,,,"Gozanti
Cruisers","Darth Vader 
(Officer)",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396,,,,,,,,,,,,,,,,,,,0,396,
Separatist,General Grievous,Close-Range Intel Scan,"Abandoned Mining
Facility",Infested Fields,"Providence-class 
Dreadnought",Invincible,Rune Haako,Ruthless Strategists,Thermal Shields,Boosted Comms,External Racks,"Linked Turbolaser
Towers",H9 Turbolasers,,,,"Recusant-class 
Light Destroyer",Patriot Fist,Wat Tambor,Sensor Team,"Phylon Q7 
Tractor Beams",XI7 Turbolasers,,,,,Gozanti (CIS),Tikkes,Flight Controllers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307,"Modified Firespray-31
(Jango Fett)","Droid Tri-Fighter
(DIS-T81)",Vulture Fighter,Vulture Fighter,Vulture Fighter,Vulture Fighter,Vulture Fighter,Vulture Fighter,,,,,,,,,,,87,394,
Separatist,Kraken,Ion Storm,Rift Ambush,Volatile Deposits,"Recusant-class 
Light Destroyer",Patriot Fist,Tikkes,Ordnance Experts,"Reserve
Hangar Deck","Assault Proton 
Torpedoes",Swivel-Mount Batteries,,,,,,"Hardcell-class
Battle Refit","Reserve
Hangar Deck","Dual Turbolaser 
Turrets",,,,,,,,"Hardcell-class
Battle Refit","Reserve
Hangar Deck","Dual Turbolaser 
Turrets",,,,,,"Hardcell-class
Transport",Veteran Captain,Parts Resupply,,,,,"Hardcell-class
Transport",Veteran Captain,Slicer Tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,Vulture Fighter,Vulture Fighter,Vulture Fighter,Vulture Fighter,,,,,,,,,,,,,,,32,399,
Separatist,Mar Tuuk,Most Wanted,Fleet in Being,Minefields,"Hardcell-class
Transport",Beast of Burden,Tikkes,Projection Experts,Parts Resupply,,,,,,,,"Recusant-class 
Light Destroyer",Patriot Fist,Shu Mai,Veteran Gunners,"Quad Turbolaser 
Cannons",,,,,,"Munificent-class
Star Frigate",Skilled First Officer,Projection Experts,Thermal Shields,Point Defense Ion Cannons,"Linked Turbolaser
Towers",,,"Munificent-class
Star Frigate",Skilled First Officer,Projection Experts,Thermal Shields,Point Defense Ion Cannons,"Linked Turbolaser
Towers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,,,,,,,,,,,,,,,,,,,0,398,
Rebel,Krysta Agate,Advanced Gunnery,Fire Lanes,Sensor Net,Starhawk 1,Concord,Walex Blissex,"Damage Control 
Officer",Boarding Troopers,Point Defense Ion Cannons,DBY-827 Heavy Turbolasers,"Magnite Crystal
Tractor Beam Array",,,,,"GR-75 Medium
Transports",Ahsoka Tano (reb),Parts Resupply,,,,,,,,"GR-75 Medium
Transports",Adar Tallon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,"Millennium Falcon 
(Lando Calrissian)","Y-wing (Gold 
Squadron)",YT-2400,YT-2400,YT-2400,YT-2400,VCX-100 Freighter,VCX-100 Freighter,,,,,,,,,,,130,388,
Empire,Moff Jerjerrod,Advanced Gunnery,Fire Lanes,Solar Corona,ISD 2,Expert Shield Tech,"Electronic 
Countermeasures",Leading Shots,XI7 Turbolasers,,,,,,,,ISD 2,Flight Controllers,Boosted Comms,"Electronic 
Countermeasures",Leading Shots,XI7 Turbolasers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,"TIE Advanced 
(Darth Vader)","TIE Defender 
(Maarek Stele)","TIE Fighter 
(Mauler Mithel)","VT-49 Decimator 
(Morna Kee)",,,,,,,,,,,,,,,84,398,
Empire,Moff Jerjerrod,Advanced Gunnery,Contested Outpost,Volatile Deposits,ISD 2,Chimera,Expert Shield Tech,Gunnery Team,"Early Warning
System",Point Defense Ion Cannons,XI7 Turbolasers,"Entrapment 
Formation!",,,,,ISD 2,Sovereign,Expert Shield Tech,Boarding Troopers,"Early Warning
System",Point Defense Ion Cannons,XI7 Turbolasers,,,,"Gozanti
Cruisers","Darth Vader 
(Officer)",Comms Net,,,,,,"Gozanti
Cruisers",Suppressor,Hondo Ohnaka,Munitions Resupply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395,,,,,,,,,,,,,,,,,,,0,395,
Rebel,Admiral Raddus,Most Wanted,Planetary Ion Cannon,Infested Fields,CR90-B,Chart Officer,Engine Techs,"Electronic 
Countermeasures",,,,,,,,,"MC80 Star
Cruiser",Intel Officer,"Caitken and 
Shollan",SW-7 Ion Batteries,"Quad Battery 
Turrets",XI7 Turbolasers,,,,,"MC30c
Torpedo",Expert Shield Tech,Ordnance Experts,External Racks,XI7 Turbolasers,,,,"GR-75 Medium
Transports",Ahsoka Tano (reb),Parts Resupply,,,,,"GR-75 Medium
Transports",Quantum Storm,Slicer Tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338,A-wing (Shara Bey),"A-wing (Tycho 
Celchu)",A-wing,A-wing,,,,,,,,,,,,,,,55,393,
Empire,Admiral Sloane,,,,Gladiator 1,Demolisher,Minister Tua,Ordnance Experts,Engine Techs,"Electronic 
Countermeasures","Assault Proton 
Torpedoes",,,,,,"Quasar
Fire 1",Pursuant,"Emperor Palpatine
(Officer)",Flight Controllers,Boosted Comms,"Expanded 
Hangar Bay",,,,,Raider 1,Corvus,"Darth Vader 
(Boarding)",,,,,,"Gozanti
Cruisers",Suppressor,Commander Woldar,Jamming Field,,,,"Gozanti
Cruisers",Admiral Titus,Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298,"TIE Defender 
(Maarek Stele)","TIE Fighter 
(Mauler Mithel)","TIE Phantom
 (Whisper)","TIE Fighter 
(Black Squadron)",TIE Defender,TIE Defender,,,,,,,,,,,,,95,393,
Separatist,TF-1726,,,,"Hardcell-class
Transport",Foreman's Labor,Hondo Ohnaka,TI-99,Engine Techs,,,,,,,,"Providence-class 
Carrier",Invincible,Rune Haako,Thermal Shields,"Early Warning
System",B2 Rocket Troopers,Leading Shots,"Heavy Turbolaser 
Turrets",Jedi Hostage,,"Recusant-class 
Light Destroyer",Patriot Fist,Shu Mai,Ordnance Experts,B2 Rocket Troopers,"Assault Proton 
Torpedoes",Swivel-Mount Batteries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,Vulture Fighter,Vulture Fighter,Vulture Fighter,Vulture Fighter,Vulture Fighter,Vulture Fighter,,,,,,,,,,,,,48,400,
Rebel,Admiral Ackbar,Most Wanted,Hyperspace Assault,Infested Fields,"Assault Frigate
Mk2B",Intel Officer,"Caitken and 
Shollan","Electronic 
Countermeasures",Slaved Turrets,,,,,,,,"MC30c
Scout",Foresight,Intel Officer,Ordnance Experts,External Racks,"Turbolaser Reroute 
Circuits",,,,,CR90-A,Jaina's Light,"Turbolaser Reroute 
Circuits",,,,,,"GR-75 Medium
Transports",Hondo Ohnaka,"Reserve
Hangar Deck",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319,A-wing (Shara Bey),"A-wing (Tycho 
Celchu)","Shadow Caster 
(Ketsu Onyo)","Y-wing (Gold 
Squadron)",Z-95,Z-95,,,,,,,,,,,,,81,400,
Empire,Admiral Ozzel,,,,ISD 1,Minister Tua,Flight Controllers,"Electronic 
Countermeasures",Boosted Comms,"Expanded 
Hangar Bay",Leading Shots,"Quad Battery 
Turrets",,,,,"Arquitens
Command Cruiser",Hand of Justice,Captain Needa,Engine Techs,"Turbolaser Reroute 
Circuits",,,,,,"Gozanti
Cruisers",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263,"Lambda-class Shuttle 
(Colonel Jendon)","TIE Defender 
(Darth Vader)","TIE Defender 
(Maarek Stele)","Slave I 
(Hondo Ohnaka)",TIE Defender,TIE Defender,,,,,,,,,,,,,125,388,
Republic,Luminara Unduli,,,,Acclamator 2,Implacable,Clone Navigation Officer,Clone Gunners,Thermal Shields,"Assault Proton 
Torpedoes",Swivel-Mount Batteries,,,,,,Venator 1,Tranquility,Intel Officer,Local Fire Control,SPHA-T,External Racks,XI7 Turbolasers,"Intensify
Firepower",,,Pelta Transport,Hondo Ohnaka,Projection Experts,Parts Resupply,,,,,Pelta Transport,Projection Experts,Munitions Resupply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,"V-19
(Kickback)","V-19
(Axe)",,,,,,,,,,,,,,,,,33,399,
